id,fa,year,title,global_cites,in_corpus_cites,pagerank,venue
https://openalex.org/W2078219592,Aalst,2006,Activity Theory as a Framework for Analysing Knowledge Building,28,7,0.00032,Learning Environments Research
https://openalex.org/W2046201394,Kandalaft,2012,Virtual Reality Social Cognition Training for Young Adults with High-Functioning Autism,682,0,0.00018,Journal of Autism and Developmental Disorders
https://openalex.org/W98269713,Lesser,2000,"Communities of Practice, Social Capital and Organizational Knowledge",235,0,0.00018,Elsevier eBooks
https://openalex.org/W2238272118,Scardamalia,2011,New Assessments and Environments for Knowledge Building,181,18,0.00058,
https://openalex.org/W2908304050,Hartmann,2019,Are We Speaking the Same Language? Recommendations for a Definition and Categorization Fra,2695,0,0.00018,Environmental Science & Technology
https://openalex.org/W2735561472,Ludvigsen,2017,"Frameworks for mass collaboration, adaptable scripts, complex systems theory, and collabor",4,0,0.00018,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W2021178934,Floridi,2007,Understanding Epistemic Relevance,103,0,0.00018,Erkenntnis
https://openalex.org/W1994178598,Sutton,2010,"The psychology of memory, extended cognition, and socially distributed remembering",376,2,0.00027,Phenomenology and the Cognitive Sciences
https://openalex.org/W2022700045,Hoadley,2005,Using technology to transform communities of practice into knowledge-building communities,159,4,0.00034,ACM SIGGROUP Bulletin
https://openalex.org/W2004974814,Leeuwen,2013,"Teacher interventions in a synchronous, co-located CSCL setting: Analyzing focus, means, a",57,7,0.00036,Computers in Human Behavior
https://openalex.org/W4410372791,Peltoniemi,2025,Understanding the role of I-positions facilitating knowledge construction in a computer-su,3,2,0.00019,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W2149588199,Layman,2006,Changing Students Perceptions: An Analysis of the Supplementary Benefits of Collaborative ,48,2,0.00034,
https://openalex.org/W1997468585,Lossman,2010,Toward pervasive knowledge building discourse: analyzing online and offline discourses of ,26,4,0.00039,Asia Pacific Education Review
https://openalex.org/W3196039724,Sánchez,2021,Homogeneous Group Formation in Collaborative Learning Scenarios: An Approach Based on Pers,37,3,0.00023,IEEE Transactions on Learning Technologies
https://openalex.org/W2097545282,Paavola,2002,Epistemological foundations for CSCL,141,9,0.00121,
https://openalex.org/W1586215365,Cartelli,2007,Socio-Technical Theory and Knowledge Construction: Towards New Pedagogical Paradigms?,34,0,0.00018,Informing Science and IT Education Conference
https://openalex.org/W4230634933,?,2015,Naomi Miyake: 1949–2015,0,0,0.00018,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W2135088258,Noroozi,2010,Differences in learning processes between successful and less successful students in compu,58,5,0.00027,Computers in Human Behavior
https://openalex.org/W4398763246,Fütterer,2024,How Do Teachers Collaborate in Informal Professional Learning Activities? An Epistemic Net,4,0,0.00018,Journal of Science Education and Technology
https://openalex.org/W4249138131,?,2006,Proceedings of the 12th ACM SIGKDD international conference on Knowledge discovery and dat,664,0,0.00018,
